smiles
C(=O) C2 C( C(=O)O) [C@H]3 CC [C@@H]2O 3 )CC 1 .Cl CCN(C) CC4) c3 C) nc2 1 CCCC1 )CC 1 CC1 CC =C 2 C(=O) C(C)(C)[C@@H](O) CC(=O)N1 ) O [C@H]3 C[C@H]3 O [C@@H](CC [C@@H]1 O2) C [C@@H](C) C3 =C . CS(=O)(=O) O 4) c(Cl) cn 2) [C@H]1 c1ccc( F) cn 1 I ] (C) O [C@H]3 CC [C@@H]1 c1ccc( F) =C( c2ccc(N) cc2) CC1 ( c2ccc( Cl) c1 F) cc 6 F) cc1) c1cc c2c( c1 ) O) nc2 1 I ] (C) [C@@H]( C(C)C) cs 1 I ] (C) (N) ( C [C@@H]3 [C@@H](OC) [C@@H]( CC(C) C) OCO 3 )CC 1 I ] ) c1 ) c1 F (N) ( C [C@]2(C) / c4 c2cc c s2) NC(=O)C NC(=O)[C@H](C c2cc c3 n2 CCCC NC(=O) OC .O=C(
OS(C)(=O) =O .Cl .Cl .Cl c4 (C) CC(=O) N(C) [C@@H]( CC(C) C) c1cc cnc1 N) c1 F [nH] 1 .Cl .Cl c(C)n c( C(F)(F)F) c1 =O (F) (F) OCC cs c(C) cccc c12 [C@@H]( C(C)C) C [C@@H](C) C3 =C . CS(=O)(=O) O )CC 1 .Cl CC(=O)O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 .Cl c4 cc3 )C(=O)N C2 =O) c1 F) c1 F) cc1) c1cc( C(F)(F)F) c1 O 1 I ] (C) (N) ( c2ccc( Cl) c1 ) c1 ) c1 ) c1 =O .Cl c3ccc( ccc( O [C@@H](CC (N) ( C#N) c5 c4) n c32) CC1 ( c1cccc( Cl) CC OCC 3) c2 3) C2 CC OCC 3) c2 3 )CC 1 .Cl c4 C#N) c5 cccc 1C 1 .Cl )NC(=O) OC c1cc(- c2cn c( C(=O)N
OS(C)(=O) =O .Cl n( C3 CCN CC3) c2) cnc1 N) c1 c(Cl) ccc( F)c1 Cl 2 (O) O 1 .Cl 1 .Cl c3n 1 N [C@@H](CC (N) =O) C(=O)N[C@@H](CC (N) =O)C(=O)N[C@@H](C c4ccccc4)C(=O)N [C@@H]( CCCC NC(=O) CCC(=O)O[C@@H](C(=O)O[C@H]4C[C@@]5(O)[C@@H](OC(=O)c6ccccc6)[C@@H]6[C@]7(OC(C)=O)CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(C)=O)C(=C4C)C5(C)C) [C@@H](NC(=O)c4ccccc4) c4ccccc4)C(=O)N [C@H]( C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](C c4ccc(O)cc4) C(=O)O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 I ] (C) [C@H]3 C(=O)N [C@@H]2 C1 =O .Cl .Cl .Cl 1) [C@H]1 C(=O)O C(=O) [C@@H]( C(C)C) c5 cccc 1C 1 .Cl .Cl .Cl c3ccccc3) C(=O)O [C@H]1 C(=O)N[C@@H]( O) cc1) c1cc cnc1 [N a +] (C) [O-] C2 =O) C(=O)N 1C 1 .Cl c3cc( S(=O)(=O)N c2ccccc2) C[C@H](O) CN 2 F cc [C@]2(C) C(=O) CO C( C [C@@H]2 C [C@@H]2O[C@]2(C)CCC[C@H](C) [C@@H]1 C(=O)N (C) [C@H]3 [C@@H](O) C [C@]2(C) C(=O) CO 1 [C@H]1 c1ccc( F) cc 6
OS(C)(=O) =O .Cl .Cl .Cl c4 c3ccc( F) cc3 )C(=O)N C2 =O) c2cc3c( cc2 1) OCO 3 )CC 1 .Cl .Cl C(C)C) C(C) O) C(=O)N[C@@H](CCCNC(=N)N)C(=O)N [C@@H](CC (N) =O) C(=O)N[C@@H](CC (N) =O)C(=O)N[C@@H](C c4ccccc4)C(=O)N [C@@H]( CCCC NC(=O) CCC(=O)O[C@@H](C(=O)O[C@H]4C[C@@]5(O)[C@@H](OC(=O)c6ccccc6)[C@@H]6[C@]7(OC(C)=O)CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(C)=O)C(=C4C)C5(C)C) [C@@H](NC(=O)c4ccccc4) c4ccccc4)C(=O)N [C@H]( C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](C c4ccc(O)cc4) C(=O)O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 I ] (C) [C@H]3 c4 c2cc c3 c4ccc( Cl) c1 3) C2 =O) c1 C(F)(F) O 1 .Cl .Cl .Cl .Cl F Cl) cc( Cl) c(=O) n1 2 [C@H](OC(C)=O) C [C@@H](C) C(=O) CO C( C [C@@H]2 C1 =O .Cl c3ccc( C(=O)N[C@@H](CCC(=O)O) C(=O)O) [C@H]3 [C@@H](O) C [C@@H]2 C1 =O n1 2 ( c2ccc( Cl) O 1 .Cl .Cl .Cl n 4) cc23)c1 .Cl .Cl I ] (C) (C)C) [C@] 4 3 )CC 1 .Cl C
OS(C)(=O) =O .Cl .Cl .Cl .Cl c12 .O=C( O)C [C@H](O) [C@@H](C) C(=O) C(C)(C)[C@@H](O) CC(=O)O 1 .O= S(=O) (O) C(=O) CO 1 CCC( [C@@H]1 OC(=O) CCCC [C@@H](CC (N) =O) C(=O)O [C@@H]2 C1 =O .Cl .Cl C#N) c4 ncc( (N) ( CC(=O)O) C(=O)O [C@@H]2 C) c(N) c1 =O .Cl .Cl c3ccccc3) C(=O)O C2 =O) c1 F) cc1 .Cl .Cl c4 ncc( Br) cc4 Cl) c1 F) c(=O) n1 2 C(=O) [C@@H]( C(C)C) cs c(C) c3ccc(O c4 c2 3 )CC 1 CCC( C(=O) CO 1 CCCC1 NC(=O) 2) CC OCC 3) C(=O)N ( c2ccc( Cl) O 1 I ] ) Br) c4 ncc( Cl) O 1 .Cl 3) C2 CC Br) cnc1 [N a +] (=O) [O-] C [C@]2(C) C(=O) CO 1 .Cl c4 ncc( Cl) c1 F) cc 6
N(CC)CC [C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C /C=C/ 1C 1 =C /C=C1\ CCC [C@]2(C) [C@@H]( [C@H](C) CCCC (C)C) CC [C@@H]1 2 c( C2 =O) c2ccccc2 1 CC =C 2 C(=O) C[C@H](O) CN ) O [C@H]3 C[C@H]3 O [C@@H](CC [C@@H]1 O2) C [C@@H](C) C3 =C . CS(=O)(=O) O 4) C(=O)O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 CCCC1 =O .Cl .Cl .Cl c2ccc( Cl) c1 Cl) C [C@]2(C) C(=O) (N) =O) c1 - 1 .Cl c4 c2 3) C2 =O) CC1 (C) [C@@H]( C(C)C) c5 cccc c12 .O=C( O)CC (O)( CC(=O)O) [C@@H]( CCC(=O)N [C@@H](CC (N) ( c6 ccc( F) c1 Cl) O [C@@H](CC (N) ( C [C@@H]2 C1 =O .Cl I ] ) c1 3) cc2) CC1 ( [C@@H]3 [C@@H](C) C [C@@H]3 [C@@H](OC) [C@@H]( C(C)C) c5 cccc c1 F 3 )CC
OS(C)(=O) =O .Cl .Cl .Cl .Cl c4 n1) o c3 c2) C [C@@H]2 C1 =O c2ccccc2 1 .Cl .Cl .Cl .Cl .Cl .Cl OC N )C(=O)N C2 =O) C(=O)N (C) [C@@H]( CC(C) C) C(=O)N (C) [C@@H]( C(C)C) C(=O)N 1C 1 I +] (=O) [O-] C O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 =C 2 [C@H]1 c1 Cl) c1 =O .Cl F c(C) cccc 1C 1 .Cl 4 (C) (N) ( 4) c(Cl) cn 1 I ] (C) (N) ( C#N) c5 cccc c1 ) c1 =O .Cl .Cl 4 (C) (N) ( c1ccc( F) cc 6 2) CC ( C 4) c(Cl) cn 1 .Cl c3cc [C@@H](C) C c4cccc c(- c1cccc( Cl) O 1 I ] (C) [C@@H]1 OC(=O) CCCC NC(=O) [C@@H]2 C1 =O .Cl 4
OS(C)(=O) =O .Cl =O .Cl .Cl [C@@H](C) c5 ) ncn c4 [nH] 3) cc2) CC1 (C) (C)C) cccc3 nc2 - 1 .Cl .Cl .Cl c2) cn 1 OC(=O) [C@@H]( CCC(=O)N [C@@H]( n2 [C@@H](CC [C@@H]1 O2) C [C@@H](C) C3 =C . CS(=O)(=O) O 4) C(=O)O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 I ] (C) CC(=O) C=C 1 .Cl [C@H]1 c1ccc( F) cc1) c1cc( C(F)(F)F) c1 c(O) cc( Br) cnc1 N) c1 =O .Cl 1) [C@H]1 C(=O)N[C@@H](CC (N) ( c2ccc( Cl) O [C@H]3 [C@@H](O) C [C@@H]3 [C@@H](C) C(=O) C [C@]2(C) [C@@H]( C(C)C) C2 CC OCC 3 )CC 1 CCCC1 =O .Cl F NC(=O)C NC(=O)[C@H](C c4ccc(O)cc4) NC(=O)[C@H](Cc4ccccc4) NC(=O) c1cccc( c(N 3 )CC 1 .Cl c4 CO 1 OC(=O) CCCC (C)C) cccc3 3 )CC 1 CC OCC CCN(C)
OS(C)(=O) =O .Cl CO)CO) [C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C /C=C/ 1C 1 =O .Cl .Cl c2ccc(N) cc2) (C) [C@H]3 [C@@H](O) C[C@@] 2 1C 1 .Cl [C@@H]2O[C@H](CO) [C@@H](O) 3 c2) cn 1 .Cl 4C) C(=O)N N( [C@@H](CC (C)C) CC OCC 3) C(=O)N (C) (N) ( c1cc O 4) cc3) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 =C 2 [C@H](OC(C)=O) C [C@@H]3 CCC [C@H]3 [C@@H](O) C [C@@H]2 C1 =O .Cl ncc( [C@@] (C) (N) =O)C(=O)N[C@@H](C c2ccccc2 1 =C 2 =O .Cl c4 cc 6 cc( Cl) c1 =O .Cl c3ccc( [C@@H] 4 (C) [C@@H]( CC(C) C) OCO 3 )CC 1 =C . CS(=O)(=O) O 1 OC(=O) C(=O)O) [C@H]3 O[C@H]( CC [C@@H]1 c1 F c1cc( C(F)(F)F) c1 =O .Cl c4 c2ccc( Cl) c1 F) cn 4) cc23)c1 .Cl c2n [nH]c( =O) c1
OS(C)(=O) =O .Cl O)CC (O)( CC(=O)O) .O= S(=O) (O) O 3) C2 .Cl c3 c3ccc( F) cc1 .O=C( O)CC (O)( CC(=O)O) C(=O)O C [C@]2(C) CC [C@@H]1 C C(=O)O [C@@H]2 C(=O)N .Cl c3ccc( [C@@H]1 C(=O)N (C) [C@@H]( C(C)C) C(=O)N 1C 1 I ] ) C(=O)O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 I ] (C) (N) ( c1ccc( F) N )CC 1 I ] (C) (N) ( c4ccc( Cl) O 1 .Cl .Cl c4 ncc( n1 2 C(=O) CO C( CC(=O)O) C(=O)O C( C [C@@H]3 [C@@H](OC) [C@@H]( CCCC CCC [C@H]5 O [C@H]3 O)cc c4 n 5 )CC4) c4ccccc3 4 (C) (C)C) cccc3 nc2 1 .Cl c3ccccc3) cc2) CC1 ( c(- c2cc c s2) n c2ccccc2 1 C2) c2ccccc2 c1 F) cc c1 =O .Cl .Cl 4
